영화명,영문명,제작년도,감독명,원작도서유무,네이버기대지수
명량: 회오리 바다를 향하여,,2015,"정세교,김한민",0,382
명량,ROARING CURRENTS,2014,김한민,1,13639
극한직업,Extreme Job,2018,이병헌,0,603
텅 커터스: 어린이 극한 직업,Tongue Cutters,2017,솔베이 S. 멜케로엔,0,35
비니 존스의 극한 직업,Vinnie Jones-Russia's Toughest,2012,,0,0
신과함께-죄와 벌,Along With the Gods: The Two Worlds,2017,김용화,1,57194
국제시장,Ode to My Father,2014,윤제균,1,12784
더 베테랑,The Veteran,2018,제로니모 로드리게즈,0,0
파머/베테랑,Farmer/Veteran,2016,알릭스 블레이르,0,0
베테랑,Veteran,2015,류승완,0,9952
크라이시스 핫라인: 베테랑스 프레스 1,Crisis Hotline: Veterans Press 1,2013,엘렌 구센버그 켄트,0,0
베테랑,The Veteran,2011,매튜 호프,0,117
베테랑,The Veteran,2006,시드니 퓨리,0,1
인터뷰 위드 마이 라이 베테랑,Interviews with My Lai Veterans,1971,조셉 스트릭,0,0
베테랑 2,,,류승완,0,1389
기름도둑,The Gasoline Thieves,2019,에드가 니토,0,0
그림자 도둑,Shadow Thief,2018,김희예,0,0
협도연맹:도둑들의 전쟁,The Adventurers,2017,풍덕륜,0,40
도둑배우,Thief Actor,2017,니시다 마사후미,0,41
속옷도둑 미숙씨,Mrs.,2017,이준호,0,5
팬티 도둑,Underpants Thief,2017,소마라드트네 디사나야케,0,1
유부녀와 속옷 도둑,INNRANOBASANTOSITAGITOROBO,2017,아마엔보 쇼군,0,0
시험지 도둑,,2017,장서택,0,0
월현동 도둑들,Thieves Of Wolhyeondong,2016,한승원,0,8
부니베어:나무 도둑의 습격,Boonie Bears : Robo Rumble,2015,정량,0,99
도둑의 밴드,Band of Robbers,2015,"애덤 니,아론 니",0,16
프로필 도둑,,2015,황동석,0,8
인형 도둑,The Thief,2015,크리스틴 랜드,0,0
넛잡: 땅콩 도둑들,The Nut Job,2014,피터 레페니오티스,0,0
더 매직: 리틀톰과 도둑공주,Tom Little and the Magic Mirror,2014,어네스토 파드롱,0,928
얼굴도둑,Nobody From Nowhere,2014,매튜 델라포테,0,224
불곰영웅 밤세: 도둑들의 도시,Bamse and the City of Thieves,2014,크리스티앙 릴테니우스,0,54
자전거 도둑,The Bicycle Thief,2014,민용근,0,96
여자도둑,Ladrona,2014,신유정,0,29
도둑들의 두 번째 삶,Second Life of Thieves,2014,우 밍진,0,0
팬티도둑,,2014,김지선,0,23
핸드폰 도둑의 진실,The truth of the cellphone thief,2014,박가은,0,7
책도둑,The Book Thief,2013,브라이언 퍼시벌,1,961
전기도둑 로하,Powerless,2013,"파하드 무스타파,디프티 카카르",0,22
"리어카, 도둑",Like a Rolling Wheel,2013,김민철,0,4
우유도둑,,2013,기정은,0,5
도둑들,The Thieves,2012,최동훈,0,0
열쇠 도둑의 방법,KEY OF LIFE,2012,우치다 켄지,0,381
도둑들 영화를 만들다,,2012,김진상,0,433
그림자 도둑,The Shadow Thief,2012,"김예지,민새미",0,39
색 도둑,Color Thief,2012,김형민,0,7
자전거 도둑,The Bicycle Thief,2012,손태겸,0,11
자전거 도둑,The Thief &amp; The Bicycle,2012,엘라헤 카데미,0,0
모자 도둑,The Thief and the Hat,2012,류 신신,0,3
얼굴 도둑,,2012,하이메 마에스트로,0,46
도둑고양이들,Stray Cats,2011,민병우,0,44
아줌마와 도둑,,2011,우경진,0,2
도둑,Little star,2011,,0,2
노벨상 메달 도둑,Nobel Thief,2011,수만 고쉬,0,1
브래디 바의 추적자 : 도둑이 된 동물들,Home Invasion,2011,,0,0
전기도둑,The Light Eater,2011,양 슈푸,0,2
퍼시 잭슨과 번개 도둑,Percy Jackson &amp; the Olympians: The Lightning Thief,2010,크리스 콜럼버스,1,0
파리의 도둑고양이,A Cat In Paris,2010,"쟝-루프 펠리시오리,알랭 가뇰",0,0
도둑,The Robber,2010,벤야민 하이젠베르크,0,8
전기도둑,The Light Thief,2010,악탄 압디칼리코프,0,2
도둑들,Thieves,2010,에이샴 알리,0,2
도둑,Thief,2010,김현준,0,10
사랑과 도둑,,2010,히카데 앙드레아,0,0
"배달부, 도둑 그리고 비둘기",Parigot,2010,메디 알아비,0,1
사랑과 절도,Love &amp; Theft,2010,안드레아스 히카데,0,3
세 손가락 도둑,The Three Fingers,2010,베놔 오드,0,0
꼬마 도둑단,Mazie Laupitaji,2009,아만드 즈비르불리스,0,0
계절 도둑,Season Thief,2009,조문영,0,0
댄서와 도둑,The Dancer and the Thief,2009,페르난도 트루에바,0,1
달콤 도둑,,2008,이민정,0,2
도둑들,Thieves,2007,제이미 마르쿠즈,0,6
전설의 도둑,Old Thieves: The Legend Of Artegio,2007,에베라도 곤잘레스,0,2
말 도둑,Horse Thieves,2007,미샤 발드,0,1
도둑 맞은 남자,The Stolen Man,2007,마티야스 피녜이로,0,1
세 도둑,The Three Robbers,2007,하요 프라이타그,0,1
도둑 소년,The Little Thief,2006,민용근,0,18
천재도둑미스터A,D:2 - Back In Action,2006,산자이 가드비,0,52
자전거 도둑,The Bicycle Thief,2006,이걸기,0,1
더 씨프,The Thief,2006,이리나 보이코,0,0
도둑과 거짓말쟁이,Thieves And Liars,2006,리카도 멘데즈 마타,0,0
꽃노래의 도둑,鼻歌不見了: The Lost Hum,2006,히로스에 히로마사,0,0
도둑,Thief,2006,"존 데이비드 콜즈,딘 화이트",0,0
행복 도둑,The Happiness Thief,2004,데릭 보이스,0,0
자전거 도둑,Bike Theif,2004,,0,0
경찰과 도둑,Police &amp; Thief,2004,멍 옹,0,0
T&amp;G 도둑과 소녀,,2001,문현정,0,0
도둑의 딸,,2000,성준기,0,4
나 도둑이야,"It's Me, the Thief",2000,야첵 브롬스키,0,0
도둑과 카펜터스,The Chief and the Carpenter,2000,월터 투니에,0,0
도둑,The Thief,1997,파벨 축라이,0,
도둑놈,,1997,이성강,0,0
사랑 거짓말 도둑,"Lovers, Liars And Thieves",1997,,0,0
알라딘 3 : 알라딘과 도적의 왕,Aladdin And The King Of Thieves,1996,태드 스톤스,0,77
도둑들,Thieves,1996,앙드레 테시네,0,1
도둑,,1996,고흥식,0,5
월레스와 그로밋 - 양털 도둑,Wallace &amp; Gromit: A Close Shave,1995,닉 파크,0,0
도둑과 시인,,1995,진유영,0,0
큰 도둑 작은 도둑,"Steal Big, Steal Little",1995,앤드루 데이비스,0,1
욤욤 공주와 도둑,The Thief And The Cobbler,1993,리처드 윌리암스,0,163
"사랑, 사기 그리고 도둑","Love, Cheat &amp; Steal",1993,,0,1
머저리와 도둑놈,The Fool And The Thief,1992,남기남,0,0
어린이 도둑,The Stolen Children,1992,지아니 아멜리오,0,2
자니 스테치노,Johnny Stecchino,1991,로베르토 베니니,0,8
도둑의 아내,,1991,김종식,0,3
도둑님과 소매치기,Thick As Thieves,1991,스티브 디마르코,0,1
천재 도둑과 장인 그리고 여자,Why Me?,1990,진 퀴우타노,0,0
무지개 도둑,The Rainbow Thief,1990,알레한드로 조도로프스키,0,6
브란스키의 사랑 도둑,Dancin' Thru The Dark,1990,마이크 오크런트,0,0
"요리사, 도둑, 그의 아내 그리고 그녀의 정부",The Cook The Thief His Wife &amp; Her Lover,1989,피터 그리너웨이,0,40
작은 도둑 큰 도둑,Breaking In,1989,빌 포사이스,0,0
끝없는 추적자,Cold Feet,1989,로버트 돈헴,0,0
비누 도둑,The Icicle Thief,1989,모리지오 니체티,0,0
도둑과 아내,Buster,1988,데이빗 그린,0,0
여름 도둑,Summer Thefts,1988,유스리 나스랄라,0,0
컴퓨터 도둑,Bellman And True,1987,리차드 론크레인,0,0
7번방의 선물,Miracle in Cell No.7,2012,이환경,0,0
어쩌다 암살클럽,Kills on Wheels,2017,아틸라 틸,0,45
암살자 사치-섹스 해야 사는 여자,Lady assassin Sachi,2017,야마가 타카유키,0,1
극장판 암살교실: 365일의 시간,Assassination Classroom: 365 Days,2016,키시 세이지,0,3926
암살교실: 졸업편,Assassination Classroom: Graduation,2016,하스미 에이이치로,0,1458
무림쟁패: 황제암살단,Deadly Assassin,2016,장뢰,0,0
암살,Assassination,2015,최동훈,0,20846
시카리오: 암살자의 도시,Sicario,2015,드니 빌뇌브,0,409
암살교실,Assassination Classroom,2015,하스미 에이이치로,1,3640
암살교실,暗殺&amp;#25945;室,2015,키시 세이지,0,171
골때리는 암살자들,Hit Team,2015,마크 뉴튼,0,32
피의 암살자,Fist 2 Fist 2: Weapon of Choice,2014,지노 강,0,19
외인부대: 암살자들,Mercenaries,2014,크리스토퍼 레이,0,7
침묵의 암살자: 가드 도그,Guard Dog,2014,"바차 카라베도,치논 히가시온나",0,1
나는 암살당할 것이다,I Will Be Murdered,2013,저스틴 웹스터,0,3
4명의 암살자,Four Assassins,2013,스탠리 J. 오젤,0,15
제로 다크 서티,Zero Dark Thirty,2012,캐서린 비글로우,0,0
혈적자: 황제암살단,The Guillotines,2012,유위강,0,0
유오성의 7인의 암살단,Seven Assassins,2012,"웅흔흔,증지위",0,69
황제암살단,Blood Letter,2012,빅터 부,0,11
암살게임,Assassination Games,2011,어니 바바라쉬,0,47
금요일의 암살자,Friday Killer,2011,유틀럿 시파팍,0,2
토요일의 암살자,Saturday Killer,2010,유틀럿 시파팍,0,14
"존 F.케네디 암살, 사라진 총알",JFK: THE LOST BULLET,2010,,0,0
싱잉 히트맨!,The Singing Hitman!,2010,타카하타 타카시,0,0
닌자 어쌔신,Ninja Assassin,2009,제임스 맥티그,0,0
어쌔신네이션,Assassination Of A High School President,2008,브렛 사이먼,0,11
대통령의 암살,On The Assassination Of The President,2008,애덤 케커,0,0
암살자 에피소드 1,Hitman Episode 1,2008,최영,0,0
정조암살미스터리 - 8일,,2007,박종원,0,17
비겁한 로버트 포드의 제시 제임스 암살,The Assassination Of Jesse James By The Coward Robert Ford,2006,앤드류 도미닉,0,49
대통령을 죽여라,The Assassination Of Richard Nixon,2004,닐스 뮬러,0,0
24 시즌1,24,2001,"존 카사르,데이비스 구겐하임,스티븐 홉킨스,프레더릭 킹 켈러,윈리치 콜브,폴 샤피로,브라이언 스파이서,제임스 위트모어 주니어",0,0
명탐정 코난: 눈동자 속의 암살자,名探偵コナン 瞳の中の暗殺者,2000,코다마 켄지,1,527
시황제 암살,The Assassin,1998,천카이거,0,39
암살자,Assassin[s],1997,마티유 카소비츠,0,
침묵의 암살자,Man With A Gun,1995,,0,4
암살 특명,The Feminine Touch,1995,콘래드 제니스,0,0
돌아온 암살자,Hostage,1992,로버트 영 ,0,0
JFK 암살: 짐 게리슨 테이프,The JFK Assassination: The Jim Garrison Tapes,1992,존 바부어,0,4
차르 암살,The Assassin of the Tsar,1991,카렌 샤크나자로프,0,3
히틀러 암살 음모,The Plot To Kill Hitler,1990,로렌스 쉴러,0,4
암살 군단,Deadly Breed,1989,찰스 T. 칸가니스,0,0
침묵의 암살자,Silent Assassin In The Dark,1989,이두용,0,0
암살의 그림자,To Kill A Priest,1988,아그네츠카 홀란드,0,2
암살의 유혹,Backfire,1988,길버트 케이츠,0,1
암살 묵시록,Hit List,1988,윌리엄 러스티그,0,1
암살자,Death Bond,1988,도미닉 엘모 스미스,0,0
암살 게임,Hour Of The Assassin,1987,루이스 로사,0,0
한밤의 암살자,The Assault,1986,폰스 라드메이커스,0,4
얼굴없는 암살자,War Dog,1986,,0,0
특명기동작전 암살지령,C.A.T. Squad,1986,윌리엄 프리드킨,0,0
암살자,Shock,1982,로빈 데이비스,0,5
은밀한 거래,The Dogs Of War,1980,존 어빈,0,1
암살 지령,Cuba Crossing,1980,척 워크먼,0,0
장군 암살자,Shogun Assassin,1980,"로버트 휴스턴,미스미 켄지",0,2
암살 음모,The Domino Principle,1977,스탠리 크레이머,0,2
암살단,The Parallax View,1974,알란 파큘라,0,3
료마 암살,龍馬暗殺: The Assassination Of Ryoma,1974,쿠로키 카즈오,0,2
암살 지령,,1974,설태호,0,0
트로츠키 암살,The Assassination Of Trotsky,1972,조셉 로지,0,6
암살자,La Scoumoune,1972,호세 지오바니,0,0
국제 암살단,,1971,강범구,0,0
암살자,,1969,이만희,0,0
OSS 117 - 로마 작전,OSS 117 Murder For Sale,1968,"쟝-피에르 드새그냇,안드레 헌벨",0,0
한밤의 암살자,The Samurai,1967,장 피에르 멜빌,0,26
대자객,The Assassin,1967,장철,0,7
암살자 063,,1967,강중환,0,0
암살,Ansatsu,1964,시노다 마사히로,0,25
의혹의 암살자,의혹의 <b>암살</b>자,1960,,0,0
산타클로스의 암살,Who Killed Santa Claus?,1941,크리스티앙 자크,0,1
"광해, 왕이 된 남자",Masquerade,2012,추창민,1,0
