,영화명,개봉일,감독,"API구분(left=kmdb, right=영진위)"
4047,무서운이야기,2012-07-25,"정범식,임대웅,홍지영,김곡,김선,민규동",right_only
4048,무서운이야기,2012-07-26,,left_only
4057,무예타이갱,2014-07-02,크리사나퐁 라차타,right_only
4058,무예타이갱,2014-07-03,,left_only
4060,무적의소림쿵푸마스터,2015-07-23,,left_only
4061,무적의소림쿵푸마스터,2015-07-30,두기봉,right_only
4102,뮤직네버스탑,2011-10-20,,left_only
4103,뮤직네버스탑,2011-10-27,짐 콜버그,right_only
4109,미결처리반Q,2016-09-29,,left_only
4110,미결처리반Q,2016-12-03,미켈 노르가드,right_only
4114,미국대지진,2014-07-08,테리 커닝햄,right_only
4115,미국대지진,2014-07-09,,left_only
4142,미라클맨,2014-04-03,,left_only
4143,미라클맨,2014-04-17,마크 러팔로,right_only
4146,미라클프롬헤븐,2016-05-25,패트리시아 리건,right_only
4147,미라클프롬헤븐,2016-05-26,,left_only
4174,미션이스탄불5더파이널,2019-01-03,,left_only
4175,미션이스탄불5더파이널,2019-01-15,크리스티앙 알바트,right_only
4218,미스히스테리,2015-08-13,,left_only
4219,미스히스테리,2016-04-04,곽재용,right_only
4261,미저리고스트,2016-06-23,,left_only
4262,미저리고스트,2016-06-30,마이클 스티브,right_only
4275,미투숨겨진진실,2018-06-29,마현진,right_only
4276,미투숨겨진진실,2018-07-05,,left_only
4290,밀레니엄여자를증오한남자들,2012-01-11,데이빗 핀처,right_only
4291,밀레니엄여자를증오한남자들,2012-01-12,,left_only
4363,바람난아내들,2018-04-24,나가에 타카미,right_only
4364,바람난아내들,2018-10-23,장두만,right_only
4389,바르샤바1944,2015-08-13,,left_only
4390,바르샤바1944,2015-09-03,얀 코마사,right_only
4396,바비,2010-01-28,,left_only
4397,바비,2010-02-04,에밀리오 에스테베즈,right_only
4430,바흐이전의침묵,2010-10-14,,left_only
4431,바흐이전의침묵,2010-10-21,페레 포르타벨라,right_only
4433,박물관이살아있다비밀의무덤,2015-01-14,숀 레비,right_only
4434,박물관이살아있다비밀의무덤,2015-01-15,,left_only
4473,발칙한러브스캔들,2014-01-23,,left_only
4474,발칙한러브스캔들,2014-01-28,존 버제스,right_only
4500,방자전,2010-06-02,김대우,right_only
4501,방자전,2010-06-03,,left_only
4520,배저로와친구들신비한모험,2017-10-12,,left_only
4521,배저로와친구들신비한모험,2017-10-26,"라스무스 A. 실버르센,룬 스파안스",right_only
4531,배틀로얄극악소년원,2014-03-06,,left_only
4532,배틀로얄극악소년원,2014-03-11,오츠키 에이지,right_only
4533,배틀쉽,2012-04-11,피터 버그,right_only
4534,배틀쉽,2012-04-12,,left_only
4536,배틀스쿨,2018-11-29,,left_only
4537,배틀스쿨,2019-02-26,츠치다 준페이,right_only
4543,배틀트립투그리스,2018-04-25,,left_only
4544,배틀트립투그리스,2018-04-26,알렉산더 코페르,right_only
4567,백컨트리야생곰의습격,2015-12-03,,left_only
4568,백컨트리야생곰의습격,2015-12-16,애덤 맥도날드,right_only
4578,뱀파이어걸의정사,2014-05-14,혼다 칸스케,right_only
4579,뱀파이어걸의정사,2014-05-15,,left_only
4585,뱅갱모던러브스토리,2016-07-21,,left_only
4586,뱅갱모던러브스토리,2016-08-25,에바 허슨,right_only
4636,베드,2013-01-17,박철수,right_only
4637,베드,2015-03-12,,left_only
4646,베를린장벽,2014-09-24,크리스찬 슈뵈초브,right_only
4647,베를린장벽,2014-09-25,,left_only
4658,베요네타블러디페이트,2014-04-09,키자키 후미노리,right_only
4659,베요네타블러디페이트,2014-04-10,,left_only
4677,벤데타피의복수,2014-10-22,스테판 레이놀즈,right_only
4678,벤데타피의복수,2014-10-23,,left_only
4697,변강쇠VS어우동,2017-10-18,정진호,right_only
4698,변강쇠VS어우동,2017-10-31,,left_only
4730,보디가드,2012-09-27,,left_only
4731,보디가드,2012-10-05,시디끄,right_only
4738,보리의은밀한사생활,2014-08-05,,left_only
4739,보리의은밀한사생활,2015-09-10,제임스 리,right_only
4749,보이카언디스퓨티드파이널,2017-09-14,,left_only
4750,보이카언디스퓨티드파이널,2017-09-29,토도 채프카노브,right_only
4757,보헤미안걸,2019-01-21,,left_only
4758,보헤미안걸,2019-02-11,도리스 되리에,right_only
4792,부기맨3,2010-09-01,,left_only
4793,부기맨3,2011-09-01,게리 존스,right_only
4811,부러진화살,2012-01-18,정지영,right_only
4812,부러진화살,2012-01-19,,left_only
4854,분노의건샷,2016-12-01,,left_only
4855,분노의건샷,2016-12-14,힐러리안 뱅크스,right_only
4870,분신사바소녀의저주,2017-01-11,황백기,right_only
4871,분신사바소녀의저주,2017-01-12,,left_only
4872,분신사바저주의시작,2014-09-24,,left_only
4873,분신사바저주의시작,2014-09-30,안병기,right_only
4902,불륜동창회,2015-08-13,오타니 야스유키,right_only
4903,불륜동창회,2018-03-02,조태호,right_only
4934,불륜의유혹,2017-06-20,,left_only
4935,불륜의유혹,2017-06-27,이민,right_only
4948,불륜현장,2014-04-02,니자토 다케루,right_only
4949,불륜현장,2014-04-03,,left_only
5025,브림스톤,2017-04-27,,left_only
5026,브림스톤,2018-07-19,마틴 쿨호벤,right_only
5028,브이아이피,2017-08-23,박훈정,right_only
5029,브이아이피,2017-08-24,,left_only
5033,블라인드리벤지,2012-04-19,,left_only
5034,블라인드리벤지,2012-05-04,라울 루이즈,right_only
5042,블랙라이더,2016-11-14,가브리엘 세블로프,right_only
5043,블랙라이더,2016-11-17,,left_only
5058,블랙의50가지그림자,2016-10-05,마이클 티데스,right_only
5059,블랙의50가지그림자,2016-10-20,,left_only
5067,블러드골드트레저헌터,2018-02-01,,left_only
5068,블러드골드트레저헌터,2018-02-02,갤란 코넬,right_only
5070,블러드다이아몬드파이널,2019-02-02,피에르 라파그,right_only
5071,블러드다이아몬드파이널,2019-02-05,,left_only
5073,블러드리벤지,2014-12-22,지오지오 세라피니,right_only
5074,블러드리벤지,2016-02-04,,left_only
5080,블러드스프링,2013-07-04,,left_only
5081,블러드스프링,2013-07-15,패드레이그 레이놀즈,right_only
5091,블레어위치,2016-11-23,아담 윈가드,right_only
5092,블레어위치,2016-11-24,,left_only
5105,블리츠,2011-12-07,엘리어트 레스터,right_only
5106,블리츠,2011-12-08,,left_only
5141,비밀의화방,2013-12-11,,left_only
5142,비밀의화방,2013-12-12,진달래,right_only
5167,비전스,2017-02-23,,left_only
5168,비전스,2017-03-15,케빈 그루터트,right_only
5192,비포위고,2015-11-26,,left_only
5193,비포위고,2015-12-02,크리스 에반스,right_only
5205,빅미라클,2012-02-09,,left_only
5206,빅미라클,2012-02-23,켄 콰피스,right_only
5208,빅뱅,2012-06-21,,left_only
5209,빅뱅,2012-06-28,토니 크란츠,right_only
5215,빅스코어,2018-08-23,,left_only
5216,빅스코어,2018-09-11,노예 산타릴 로페즈,right_only
5225,빈센트,2013-06-27,랄프 후에트너,right_only
5226,빈센트,2015-02-18,,left_only
5230,빈야드레드와인의저주,2016-09-22,,left_only
5231,빈야드레드와인의저주,2016-10-12,제임스 캐츠,right_only
5240,빌리와용감한녀석들치킨히어로,2016-02-17,"가브리엘 리바 팔라시오 알라트리스테,로돌포 리바 팔라시오 알라트리스테",right_only
5241,빌리와용감한녀석들치킨히어로,2016-02-18,,left_only
5262,빼앗긴아내,2017-01-20,나쿠루 하라다,right_only
5263,빼앗긴아내,2018-01-26,크왓치,right_only
5275,뽀로로극장판슈퍼썰매대모험,2013-01-23,박영균,right_only
5276,뽀로로극장판슈퍼썰매대모험,2013-01-24,,left_only
5310,사랑과영혼2016,2016-02-18,,left_only
5311,사랑과영혼2016,2016-03-02,제임스 콕스,right_only
5325,사랑에빠진여자,2017-03-17,토마스 바실레프스키,right_only
5326,사랑에빠진여자,2017-03-23,,left_only
5344,사랑의묘약,2013-03-09,바틀렛 쉐어,right_only
5345,사랑의묘약,2018-07-07,,right_only
5400,사이드이펙트,2018-07-03,"안드레아스 클리멘트,안드레 헤데토프트",right_only
5401,사이드이펙트,2018-07-12,,left_only
5409,사이코메트리,2017-07-13,,left_only
5410,사이코메트리,2017-08-02,토마스 로우스,right_only
5452,사탄의사자망자의저주,2015-08-13,,left_only
5453,사탄의사자망자의저주,2015-09-03,올렉 스텝첸코,right_only
5518,상실의시대,2011-04-20,,left_only
5519,상실의시대,2011-04-21,트란 안 홍,right_only
5537,새아빠,2018-03-16,네지메 지로,right_only
5538,새아빠,2018-06-15,이상민,right_only
5594,새크리파이스,2011-10-13,,left_only
5595,새크리파이스,2015-09-25,마이클 콘,right_only
5614,샌안드레아스,2015-06-03,브래드 페이튼,right_only
5615,샌안드레아스,2015-06-04,,left_only
5641,샷콜러,2018-05-03,,left_only
5642,샷콜러,2018-05-04,릭 로만 워프,right_only
5658,서부의아가씨,2011-04-27,,left_only
5659,서부의아가씨,2019-05-14,,left_only
5705,선셋파크,2018-03-21,제이슨 사레이,right_only
5706,선셋파크,2018-03-29,,left_only
5712,설국열차,2013-07-31,,left_only
5713,설국열차,2013-08-01,봉준호,right_only
5749,성판17남자들의17가지성적판타지,2017-11-13,,left_only
5750,성판17남자들의17가지성적판타지,2017-11-30,송은주,right_only
5775,세븐빌로우,2013-03-27,,left_only
5776,세븐빌로우,2013-03-28,케빈 카러웨이,right_only
5789,세얼간이,2011-08-17,,left_only
5790,세얼간이,2011-08-18,라즈쿠마르 히라니,right_only
5807,세일러복과기관총졸업,2016-08-04,,left_only
5808,세일러복과기관총졸업,2016-08-25,마에다 코지,right_only
5823,섹션제로3구역,2017-11-30,,left_only
5824,섹션제로3구역,2017-12-21,올리비에르 마샬,right_only
5827,섹슈얼어드벤쳐,2015-02-26,,left_only
5828,섹슈얼어드벤쳐,2015-03-20,숀 개리티,right_only
5840,섹스러브앤테라피,2015-08-20,,left_only
5841,섹스러브앤테라피,2015-09-10,토니 마샬,right_only
5848,섹스에드,2016-11-14,아이작 페더,right_only
5849,섹스에드,2016-11-17,,left_only
5911,셜록홈즈그림자게임,2011-12-21,가이 리치,right_only
5912,셜록홈즈그림자게임,2011-12-22,,left_only
5916,셰임,2013-05-09,스티브 맥퀸,right_only
5917,셰임,2013-12-24,,left_only
5927,소녀괴담,2014-07-02,오인천,right_only
5928,소녀괴담,2014-07-03,,left_only
5930,소녀리오의욕망,2014-06-25,후지와라 켄이치,right_only
5931,소녀리오의욕망,2014-06-26,,left_only
5934,소녀의음란한밀회,2014-04-29,카나자와 카츠지,right_only
5935,소녀의음란한밀회,2014-05-01,,left_only
5980,소와함께여행하는법,2010-11-03,임순례,right_only
5981,소와함께여행하는법,2010-11-04,,left_only
6017,송원,2015-04-01,케이트 베커-플로이랜드,right_only
6018,송원,2015-04-02,,left_only
6069,수호지명포영웅호연작,2014-07-29,황조권,right_only
6070,수호지명포영웅호연작,2014-07-30,,left_only
6077,수호지의적유당,2013-11-20,,left_only
6078,수호지의적유당,2013-11-22,류신의,right_only
6103,순천,2014-09-04,이홍기,right_only
6104,순천,2014-09-25,,left_only
6118,숨바꼭질어둠의속삭임,2017-07-20,,left_only
6119,숨바꼭질어둠의속삭임,2017-08-10,루이스 퀼레즈,right_only
6162,슈퍼히어로,2013-07-30,,left_only
6163,슈퍼히어로,2013-07-31,에두와르도 슐츠,right_only
6175,스노우아마겟돈,2015-07-23,쉘든 윌슨,right_only
6176,스노우아마겟돈,2015-07-30,,left_only
6218,스위밍위드맨,2018-10-25,,left_only
6219,스위밍위드맨,2018-10-27,올리버 파커,right_only
6229,스즈미야하루히의소실,2010-11-04,,left_only
6230,스즈미야하루히의소실,2010-11-11,"이시하라 타츠야,타케모토 야스히로",right_only
6251,스콜피온인러브,2014-03-20,,left_only
6252,스콜피온인러브,2014-03-21,산티아고 잔노우,right_only
6282,스타트렉다크니스,2013-05-29,,left_only
6283,스타트렉다크니스,2013-05-30,J.J. 에이브럼스,right_only
6308,스톨른,2013-07-31,사이먼 웨스트,right_only
6309,스톨른,2013-08-01,,left_only
6314,스튜던트,2012-12-20,,left_only
6315,스튜던트,2017-09-07,,left_only
6316,스튜던트서비스,2014-05-30,엠마누엘 베르코,right_only
6317,스튜던트서비스,2014-06-19,,left_only
6337,스트릿오브블러드,2013-09-12,,left_only
6338,스트릿오브블러드,2013-09-13,찰스 윙클러,right_only
6354,스틸앨리스,2015-04-29,"리처드 글랫저,워시 웨스트모어랜드",right_only
6355,스틸앨리스,2015-04-30,,left_only
6364,스파이더대침공,2014-08-05,짐 위노스키,right_only
6365,스파이더대침공,2014-08-06,,left_only
6370,스파이서바이버,2015-10-05,제임스 맥티그,right_only
6371,스파이서바이버,2015-10-23,,left_only
6388,스페셜포스화이트마운틴,,,left_only
6389,스페셜포스화이트마운틴,2018-04-16,알페르 카글라,right_only
6419,슬로베니안걸여대생콜걸,2012-11-29,,left_only
6420,슬로베니안걸여대생콜걸,2013-01-17,데미안 코졸레,right_only
6427,슬립리스크리미널나이트,2017-03-08,바란 보 오다르,right_only
6428,슬립리스크리미널나이트,2017-03-09,,left_only
6446,시니스터스쿼드,2018-12-16,제레미 M. 인맨,right_only
6447,시니스터스쿼드,2018-12-18,,left_only
6448,시니어재즈밴드,2017-09-07,,left_only
6449,시니어재즈밴드,2017-10-01,미야타케 유이,right_only
6451,시럽,2015-04-23,,left_only
6452,시럽,2015-10-15,아람 라파포트,right_only
6463,시선,2014-04-16,이장호,right_only
6464,시선,2014-04-17,,left_only
6523,신고질라,2017-03-08,"안노 히데아키,히구치 신지",right_only
6524,신고질라,2017-03-09,,left_only
6562,신은죽지않았다2,2016-04-07,해롤드 크론크,right_only
6563,신은죽지않았다2,2017-04-13,,left_only
6572,신이말하는대로,2015-05-21,,left_only
6573,신이말하는대로,2015-06-09,미이케 다카시,right_only
6587,신주쿠에로스,2015-01-21,이마오카 신지,right_only
6588,신주쿠에로스,2015-01-22,,left_only
6608,실론세렌디피티,2015-12-10,,left_only
6609,실론세렌디피티,2015-12-14,권중목,right_only
6663,싱글맨,2010-05-27,톰 포드,right_only
6664,싱글맨,2016-09-08,,left_only
6679,써커펀치,2011-04-06,,left_only
6680,써커펀치,2011-04-07,잭 스나이더,right_only
6692,쎄븐플로어,2014-09-12,,left_only
6693,쎄븐플로어,2014-09-15,파트시 아메즈쿠아,right_only
6775,아내의사정,2016-11-03,,left_only
6776,아내의사정,2016-11-29,차윤영,right_only
6784,아내의애인,2015-09-17,,left_only
6785,아내의애인,2015-10-08,소영환,right_only
6786,아내의애인2,2016-12-16,크리센진,right_only
6787,아내의애인2,2018-06-14,조태호,right_only
6820,아노말리타임게이트,2014-12-24,,left_only
6821,아노말리타임게이트,2015-01-12,노엘 클락,right_only
6823,아더와미니모이2셀레니아공주구출작전,2010-07-07,,left_only
6824,아더와미니모이2셀레니아공주구출작전,2010-07-08,뤽 베송,right_only
6828,아더크리스마스,2011-11-24,,left_only
6829,아더크리스마스,2011-11-25,베리 쿡,right_only
6871,아메리칸셰프,2015-01-07,존 파브로,right_only
6872,아메리칸셰프,2015-01-08,,left_only
6873,아메리칸스나이퍼,2015-01-14,클린트 이스트우드,right_only
6874,아메리칸스나이퍼,2015-01-15,,left_only
6906,아브라함링컨VS좀비,2013-09-20,리차드 쉔크만,right_only
6907,아브라함링컨VS좀비,2013-09-26,,left_only
6926,아스널리로디드,2017-09-07,,left_only
6927,아스널리로디드,2017-09-12,스티븐 C. 밀러,right_only
6943,아웃사이더,2014-07-24,김문옥,right_only
6944,아웃사이더,2015-06-21,브라이언 A 밀러,right_only
6954,아이다,2012-12-22,그레이엄 빅,right_only
6955,아이다,2013-08-03,소냐 프리셀,right_only
6956,아이다,2015-07-01,올리비에 피,right_only
6958,아이다,2019-02-02,,right_only
6962,아이돌섹스스캔들,2016-03-16,야마삐,right_only
6963,아이돌섹스스캔들,2016-03-17,,left_only
6968,아이디에이,2012-11-22,크리스티안 E.크리스티안센,right_only
6969,아이디에이,2012-11-29,,left_only
6975,아이스에이지4대륙이동설,2012-07-25,"스티브 마티노,마이크 트메이어",right_only
6976,아이스에이지4대륙이동설,2012-07-26,,left_only
6979,아이스투모로우,2014-06-18,제이슨 부케,right_only
6980,아이스투모로우,2014-06-19,,left_only
6985,아이언걸,2013-01-28,나가미네 마사토시,right_only
6986,아이언걸,2013-01-31,,left_only
7000,아이엠어히어로,2016-09-21,사토 신스케,right_only
7001,아이엠어히어로,2016-09-22,,left_only
7002,아이엠오메가,2014-06-25,그리프 퍼스트,right_only
7003,아이엠오메가,2014-06-26,,left_only
7005,아이오브더스톰,2013-06-13,,left_only
7006,아이오브더스톰,2013-06-15,프레드 쉐피시,right_only
7036,아틀란틱림라이징,2019-01-27,자레드 콘,right_only
7037,아틀란틱림라이징,2019-01-29,,left_only
7065,악령의캠핑카,2018-12-13,,left_only
7066,악령의캠핑카,2018-12-27,톰 나이젤,right_only
7075,악의교전,2013-08-22,,left_only
7076,악의교전,2013-08-29,미이케 다카시,right_only
7079,악인,2011-06-02,,left_only
7080,악인,2011-06-09,이상일,right_only
7095,안녕나의소녀,2018-05-16,사준의,right_only
7096,안녕나의소녀,2018-05-17,,left_only
7129,알리바이닷컴,2018-11-07,필리프 라슈,right_only
7130,알리바이닷컴,2018-11-08,,left_only
7175,애로우헤드,2017-06-01,,left_only
7176,애로우헤드,2017-06-15,제스 오브라이언,right_only
7205,애프터이미지,2015-09-17,,left_only
7206,애프터이미지,2015-10-06,토니 컨,right_only
7211,액트오브워,2018-02-08,리안 M. 케네디,right_only
7212,액트오브워,2018-02-22,,left_only
7220,앤트보이레드퓨리의복수,2017-06-15,애스크 해쎌바르크,right_only
7221,앤트보이레드퓨리의복수,2017-06-29,,left_only
7222,앤트보이초딩히어로의탄생,2017-07-27,애스크 해쎌바르크,right_only
7223,앤트보이초딩히어로의탄생,2017-08-03,,left_only
7245,야누스욕망의두얼굴,2014-08-07,,left_only
7246,야누스욕망의두얼굴,2014-08-14,손영호,right_only
7247,야동보기좋은날,2016-08-05,,left_only
7248,야동보기좋은날,2016-08-08,권문선,right_only
7294,양귀비왕조의여인,2016-03-03,,left_only
7295,양귀비왕조의여인,2016-03-05,"장예모,전장장",right_only
7310,어그레션스케일,2013-06-11,스티븐 C. 밀러,right_only
7311,어그레션스케일,2013-06-12,,left_only
7347,어론인더다크2마녀사냥꾼,2014-05-15,,left_only
7348,어론인더다크2마녀사냥꾼,2015-10-14,"마이클 로쉬,피터 쉬어러",right_only
7372,어린아내,2016-11-17,,left_only
7373,어린아내,2016-11-18,화니,right_only
7374,어린아내,2017-06-20,,right_only
7387,어린여자맛있는관음,2016-06-23,,left_only
7388,어린여자맛있는관음,2016-07-08,이민환,right_only
7396,어린장모,2018-05-11,,left_only
7397,어린장모,2018-05-17,최은정,right_only
7411,어린형수,2016-09-23,최우성,right_only
7412,어린형수,2016-09-28,,left_only
7434,어밴던드,2010-03-25,,left_only
7435,어밴던드,2010-04-01,나초 세르다,right_only
7436,어밴던드,2016-03-02,존 라잉,right_only
7463,어쩌다암살클럽,2017-11-09,,left_only
7464,어쩌다암살클럽,2018-02-13,아틸라 틸,right_only
7475,언노운게스트,2018-11-27,"조나단 엘러스,패트릭 워드 퍼킨스",right_only
7476,언노운게스트,2018-11-29,,left_only
7493,언더월드4어웨이크닝,2012-02-22,"만스 말린드,비욘 스테인",right_only
7494,언더월드4어웨이크닝,2012-02-23,,left_only
7503,언스토퍼블,2010-11-10,토니 스콧,right_only
7504,언스토퍼블,2010-11-11,,left_only
7533,엄마애인,2018-01-29,"정진호,정진호",right_only
7534,엄마애인,2018-02-08,,left_only
7601,엉클분미,2010-09-16,아핏차퐁 위라세타쿤,right_only
7602,엉클분미,2014-02-13,,left_only
7663,에이리언어택2019,2019-02-19,,left_only
7664,에이리언어택2019,2019-02-21,제프 르로이,right_only
7667,에이리언컨버전스,2018-11-27,,left_only
7668,에이리언컨버전스,2018-11-29,롭 팔라티나,right_only
7701,엑소시스트사탄의부활,2018-03-15,,left_only
7702,엑소시스트사탄의부활,2018-03-30,토미 페어클로스,right_only
7735,엘꼰도르빠사,2016-02-25,,left_only
7736,엘꼰도르빠사,2016-02-27,송재용,right_only
7751,엘리스의50가지그림자,2018-12-06,,left_only
7752,엘리스의50가지그림자,2018-12-17,제이미 웨스턴,right_only
7767,엘사앤프레드,2015-10-29,,left_only
7768,엘사앤프레드,2015-12-06,마이클 래드포드,right_only
7774,엣지오브다크니스,2010-06-02,마틴 캠벨,right_only
7775,엣지오브다크니스,2010-06-03,,left_only
7776,엣지오브타임,2014-08-13,,left_only
7777,엣지오브타임,2014-08-14,칼 베사이,right_only
7792,여대생기숙사,2010-06-23,스튜어트 헨들러,right_only
7793,여대생기숙사,2010-06-24,,left_only
7801,여덟번의감정,2010-09-09,,left_only
7802,여덟번의감정,2010-09-30,성지혜,right_only
7876,여자전쟁떠도는눈,2016-08-19,,left_only
7877,여자전쟁떠도는눈,2016-08-22,김동욱,right_only
7883,여자하숙집,2017-05-11,이리단,right_only
7884,여자하숙집,2017-10-17,,left_only
7910,여친엄마,2017-07-06,이리단,right_only
7911,여친엄마,2017-10-17,,left_only
7966,엽문2,2010-06-16,엽위신,right_only
7967,엽문2,2010-06-17,,left_only
7979,영웅,2014-01-02,,left_only
7980,영웅,2014-03-20,,left_only
8015,옆집여자,2017-05-24,아마엔보 쇼군,right_only
8016,옆집여자,2017-06-20,마의성,right_only
8028,예루살렘Z좀비와의전쟁,2016-05-19,,left_only
8029,예루살렘Z좀비와의전쟁,2016-06-02,"요아브 파즈,도론 파즈",right_only
8097,오브라더오시스터,2015-03-05,,left_only
8098,오브라더오시스터,2015-03-21,니시다 마사후미,right_only
8106,오션스,2010-07-28,"자끄 페렝,자크 클로드",right_only
8107,오션스,2010-07-29,,left_only
8109,오션월드3D,2010-08-11,장-자크 망텔로,right_only
8110,오션월드3D,2010-08-12,,left_only
